epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,141.607,0.1903,0.26286,0.89496,0.9186,0.9375,0.97365,0.96181,0.32535,0.48338,0.6967,0.0011684,0.0011684,0.0011684
44,144.842,0.17537,0.28443,0.88128,0.96624,0.875,0.97847,0.97319,0.23973,0.42324,0.59109,0.0011486,0.0011486,0.0011486
45,148.001,0.19564,0.27323,0.89072,1,0.93517,0.99147,0.97313,0.25599,0.5008,0.61378,0.0011288,0.0011288,0.0011288
46,151.202,0.18629,0.27441,0.89756,0.99579,1,0.995,0.98242,0.3128,0.32505,0.71758,0.001109,0.001109,0.001109
47,154.383,0.18778,0.26333,0.88675,0.99803,0.9375,0.99147,0.98536,0.19536,0.38169,0.55607,0.0010892,0.0010892,0.0010892
48,157.64,0.18633,0.25662,0.89152,0.99619,0.875,0.9334,0.91682,0.38517,0.74568,0.76773,0.0010694,0.0010694,0.0010694
49,160.805,0.17963,0.29188,0.89616,0.99722,0.875,0.94543,0.91224,0.56514,0.81295,1.17784,0.0010496,0.0010496,0.0010496
50,164.043,0.17725,0.27831,0.88362,0.99458,1,0.995,0.96978,0.39349,0.47504,1.03275,0.0010298,0.0010298,0.0010298
51,167.341,0.17869,0.25083,0.89274,0.99586,1,0.995,0.97312,0.32735,0.33543,0.83896,0.00101,0.00101,0.00101
52,170.623,0.18717,0.25733,0.90893,0.93109,1,0.995,0.995,0.17884,0.35212,0.56018,0.0009902,0.0009902,0.0009902
53,173.826,0.17464,0.24205,0.89052,0.9963,0.9375,0.99147,0.98551,0.21392,0.34506,0.5791,0.0009704,0.0009704,0.0009704
54,176.996,0.18087,0.25479,0.91088,0.99628,0.9375,0.99147,0.97903,0.2838,0.32989,0.72968,0.0009506,0.0009506,0.0009506
55,180.181,0.17248,0.25003,0.9004,0.99658,0.9375,0.983,0.97045,0.23916,0.36522,0.62624,0.0009308,0.0009308,0.0009308
56,183.333,0.16222,0.24269,0.88258,1,0.99367,0.995,0.97194,0.35558,0.36092,0.8557,0.000911,0.000911,0.000911
57,186.441,0.1617,0.23482,0.89327,0.99752,0.9375,0.98833,0.9569,0.433,0.57575,0.89922,0.0008912,0.0008912,0.0008912
58,189.579,0.16095,0.25064,0.88969,0.99741,0.9375,0.94079,0.91265,0.62635,0.71278,1.02424,0.0008714,0.0008714,0.0008714
59,192.679,0.15547,0.22161,0.89649,1,0.9334,0.9446,0.92347,0.31476,0.59732,0.71345,0.0008516,0.0008516,0.0008516
60,195.75,0.15296,0.23812,0.8884,0.99541,0.9375,0.99147,0.99147,0.25083,0.38998,0.61198,0.0008318,0.0008318,0.0008318
61,198.839,0.14985,0.2245,0.88568,0.94096,0.99629,0.99147,0.99147,0.24612,0.38564,0.58462,0.000812,0.000812,0.000812
62,202.433,0.16054,0.23652,0.88477,0.94089,0.99513,0.99147,0.99147,0.21517,0.35216,0.56005,0.0007922,0.0007922,0.0007922
63,205.813,0.15219,0.23198,0.89298,0.99638,0.9375,0.9391,0.9391,0.16795,0.28348,0.51264,0.0007724,0.0007724,0.0007724
64,209.188,0.14485,0.22814,0.88361,1,0.99854,0.995,0.995,0.1809,0.23446,0.52876,0.0007526,0.0007526,0.0007526
65,212.29,0.13587,0.21122,0.88301,0.99741,1,0.995,0.98839,0.22296,0.28959,0.61169,0.0007328,0.0007328,0.0007328
66,215.607,0.1395,0.20038,0.88248,1,0.9989,0.995,0.98407,0.2717,0.35542,0.66797,0.000713,0.000713,0.000713
67,218.799,0.13428,0.20621,0.88757,1,0.99637,0.995,0.995,0.22765,0.28777,0.5904,0.0006932,0.0006932,0.0006932
68,222.069,0.15289,0.2201,0.88851,1,0.99462,0.995,0.9897,0.24971,0.30404,0.59801,0.0006734,0.0006734,0.0006734
69,225.207,0.13255,0.20216,0.8733,0.99436,0.875,0.98167,0.94424,0.53086,0.48892,0.88655,0.0006536,0.0006536,0.0006536
70,228.374,0.13792,0.22264,0.88344,0.93006,0.875,0.95253,0.90179,0.46528,0.71978,0.80725,0.0006338,0.0006338,0.0006338
71,231.541,0.13304,0.22482,0.88145,0.93112,0.875,0.93033,0.89828,0.32902,0.75882,0.68226,0.000614,0.000614,0.000614
72,234.734,0.13084,0.21139,0.87655,0.99769,0.9375,0.98553,0.96759,0.34715,0.33778,0.76545,0.0005942,0.0005942,0.0005942
